19;[0.9844418  0.00928957 0.17546522 0.70130357] [-0.00723869  0.99989785 -0.01232469 -0.12405678] [-0.17556178  0.0108628   0.98440848  4.81498431] [0. 0. 0. 1.];[0.97990437 0.00921141 0.19925506 1.08103778] [-0.00742155  0.99992514 -0.00972778 -0.18764259] [-0.19932975  0.00805351  0.97989938  6.18927335] [0. 0. 0. 1.]
20;[0.97990437 0.00921141 0.19925506 1.08103778] [-0.00742155  0.99992514 -0.00972778 -0.18764259] [-0.19932975  0.00805351  0.97989938  6.18927335] [0. 0. 0. 1.];[0.97805201 0.01071674 0.20808514 1.20936161] [-0.00887673  0.99991283 -0.0097744  -0.17746674] [-0.20817175  0.00771275  0.97806188  7.00543138] [0. 0. 0. 1.]
21;[0.97980913 0.01014057 0.19967782 1.05723157] [-0.00821903  0.99991162 -0.01044979 -0.17749512] [-0.19976614  0.00859764  0.97980588  6.202222  ] [0. 0. 0. 1.];[0.97716228 0.01051463 0.21223412 1.41064899] [-0.00889794  0.99992368 -0.00857116 -0.19766648] [-2.12308041e-01  6.48696974e-03  9.77181260e-01  7.79513378e+00] [0. 0. 0. 1.]
22;[0.97709634 0.01160774 0.21248059 1.39164333] [-0.00984794  0.9999079  -0.00933865 -0.18344159] [-2.12569425e-01  7.03226055e-03  9.77120661e-01  7.78733562e+00] [0. 0. 0. 1.];[0.97666332 0.0093616  0.21457195 1.60394665] [-0.0077743   0.99993583 -0.00824027 -0.21052755] [-2.14635321e-01  6.37982111e-03  9.76673424e-01  8.60430150e+00] [0. 0. 0. 1.]
23;[0.97709634 0.01160774 0.21248059 1.39164333] [-0.00984794  0.9999079  -0.00933865 -0.18344159] [-2.12569425e-01  7.03226055e-03  9.77120661e-01  7.78733562e+00] [0. 0. 0. 1.];[0.976332   0.00838626 0.21611455 1.76228524] [-0.00637756  0.99992976 -0.00999036 -0.21640329] [-2.16183149e-01  8.37562255e-03  9.76316903e-01  9.38570271e+00] [0. 0. 0. 1.]
24;[0.97625258 0.00841525 0.21647188 1.74532513] [-0.00635325  0.9999276  -0.01021962 -0.20817879] [-2.16542210e-01  8.60162775e-03  9.76235363e-01  9.34537413e+00] [0. 0. 0. 1.];[0.97655375 0.00748322 0.21514363 1.97767806] [-0.00496137  0.99991254 -0.01225933 -0.24252913] [-0.21521655  0.01090449  0.97650547 10.15626343] [0. 0. 0. 1.]
25;[0.97625258 0.00841525 0.21647188 1.74532513] [-0.00635325  0.9999276  -0.01021962 -0.20817879] [-2.16542210e-01  8.60162775e-03  9.76235363e-01  9.34537413e+00] [0. 0. 0. 1.];[0.97682663 0.00733522 0.21390637 2.14219646] [-0.0042143   0.99987797 -0.01504245 -0.2429546 ] [-0.21399061  0.0137924   0.97673834 10.94876039] [0. 0. 0. 1.]
26;[0.97679274 0.00678721 0.21407916 2.13752622] [-0.00369515  0.99988305 -0.01484039 -0.24525446] [-0.21415484  0.01370493  0.97670358 10.9174568 ] [0. 0. 0. 1.];[0.97739104 0.00717968 0.21131778 2.37321905] [-0.00415728  0.99988267 -0.01474344 -0.25377678] [-0.21139884  0.0135316   0.97730621 11.83066016] [0. 0. 0. 1.]
27;[0.97679274 0.00678721 0.21407916 2.13752622] [-0.00369515  0.99988305 -0.01484039 -0.24525446] [-0.21415484  0.01370493  0.97670358 10.9174568 ] [0. 0. 0. 1.];[0.97751368 0.0061579  0.21078207 2.51172489] [-0.0040024   0.99993526 -0.01065128 -0.28026615] [-2.10834015e-01  9.56813333e-03  9.77475048e-01  1.26041367e+01] [0. 0. 0. 1.]
28;[0.97747723 0.00590074 0.2109584  2.50266137] [-0.00373649  0.99993624 -0.01065626 -0.27387229] [-2.11007825e-01  9.62800470e-03  9.77436954e-01  1.25623473e+01] [0. 0. 0. 1.];[0.9779729  0.00685193 0.20861942 2.71065441] [-0.00543218  0.99995803 -0.00737763 -0.27087666] [-2.08661217e-01  6.08185946e-03  9.77969073e-01  1.34390604e+01] [0. 0. 0. 1.]
